locality_name,bhks,per_sq_ft_area,price_per_sq_ft_area,construction_status,price,appt_name,appt_link
bopal,2,1350,4100,Under Construction,5535000,Divine Trinity Sky,https://www.makaan.com/ahmedabad/divine-group-ahmedabad-trinity-sky-in-bopal-3366149
bopal,3,1755,3815,Under Construction,6695325,Mount Mount Milano,https://www.makaan.com/ahmedabad/mount-group-bopal-mount-milano-in-bopal-3246526
bopal,3,1650,4182,Under Construction,6900300,Nirgun Rise,https://www.makaan.com/ahmedabad/nirgun-group-rise-in-bopal-3307534
bopal,3,1750,5257,Under Construction,9199750,Aashray Aurum,https://www.makaan.com/ahmedabad/aashray-constructions-aurum-in-bopal-3174526
bopal,3,1800,3800,Under Construction,6840000,Swarnim Swarnim Sun,https://www.makaan.com/ahmedabad/swarnim-group-ahmedabad-swarnim-sun-in-bopal-3204455
bopal,3,1520,4049,Under Construction,6154480,Ralsi Maighar Residency,https://www.makaan.com/ahmedabad/ralsi-developers-maighar-residency-in-bopal-1981040
bopal,2,1140,3100,Under Construction,3534000,Reset New Project,https://www.makaan.com/ahmedabad/reset-group-new-project-in-bopal-3428330
bopal,2,1350,4100,Under Construction,5535000,Divine Trinity Sky,https://www.makaan.com/ahmedabad/divine-group-ahmedabad-trinity-sky-in-bopal-3366149
bopal,2,1178,3100,Under Construction,3651800,Reset New Project,https://www.makaan.com/ahmedabad/reset-group-new-project-in-bopal-3428330
bopal,3,1850,4100,Under Construction,7585000,Divine Trinity Sky,https://www.makaan.com/ahmedabad/divine-group-ahmedabad-trinity-sky-in-bopal-3366149
bopal,3,1440,6076,Ready to move,8749440,Flora Ixora,https://www.makaan.com/ahmedabad/flora-ixora-in-bopal-1601848
bopal,3,1485,5387,Ready to move,7999695,Akshar Shypram,https://www.makaan.com/ahmedabad/akshar-infra-shypram-in-bopal-2000409
bopal,3,1410,6028,Ready to move,8499480,Goyal And Co Orchid Divine,https://www.makaan.com/ahmedabad/goyal-and-co-and-hn-safal-orchid-divine-in-bopal-781211
bopal,3,1700,4588,Ready to move,7799600,Kavisha The Canvas,https://www.makaan.com/ahmedabad/kavisha-atria-llp-the-canvas-in-bopal-3144027
bopal,4,3300,4200,Under Construction,13860000,Kavisha The Canvas,https://www.makaan.com/ahmedabad/kavisha-atria-llp-the-canvas-in-bopal-3144027
bopal,4,3300,4200,Under Construction,13860000,Ashapura Samanvay Scintilla,https://www.makaan.com/ahmedabad/ashapura-infratech-samanvay-scintilla-in-bopal-3162283
bopal,3,868,8813,Under Construction,7649684,Shri Parshva SP Nirvana,https://www.makaan.com/ahmedabad/shri-parshva-corporation-sp-nirvana-in-bopal-3129765
bopal,2,1246,3711,Under Construction,4623906,TRA Aalay,https://www.makaan.com/ahmedabad/tra-realasset-india-llp-aalay-in-bopal-3456058
bopal,3,2580,4205,Under Construction,10848900,Shaligram Garden Residency I,https://www.makaan.com/ahmedabad/shaligram-buildcon-garden-residency-i-in-bopal-661968
bopal,3,1750,6571,Ready to move,11499250,Aaravi 156,https://www.makaan.com/ahmedabad/aaravi-developers-156-in-bopal-1834552
bopal,3,1485,5252,Ready to move,7799220,Aaryan Gloria,https://www.makaan.com/ahmedabad/aaryan-builders-gloria-in-bopal-660745
bopal,2,1000,5400,Ready to move,5400000,Shaligram Prime,https://www.makaan.com/ahmedabad/shaligram-buildcon-prime-in-bopal-2008198
bopal,3,1615,5263,Ready to move,8499745,Siddhi Aarohi Elysium,https://www.makaan.com/ahmedabad/siddhi-developers-aarohi-elysium-in-bopal-1397969
bopal,3,1435,6411,Ready to move,9199785,Shri Parshva SP Nirvana,https://www.makaan.com/ahmedabad/shri-parshva-corporation-sp-nirvana-in-bopal-3129765
bopal,2,1245,3550,Under Construction,4419750,Ashapura Samanvay Scintilla,https://www.makaan.com/ahmedabad/ashapura-infratech-samanvay-scintilla-in-bopal-3162283
bopal,3,868,8813,Under Construction,7649684,Ralsi Maighar Residency,https://www.makaan.com/ahmedabad/ralsi-developers-maighar-residency-in-bopal-1981040
bopal,3,1702,3613,Under Construction,6149326,United B Ethics,https://www.makaan.com/ahmedabad/united-brothers-creation-infra-b-ethics-in-bopal-3252069
bopal,3,858,8009,Under Construction,6871722,Kavisha The Canvas,https://www.makaan.com/ahmedabad/kavisha-atria-llp-the-canvas-in-bopal-3144027
bopal,3,2200,4363,Under Construction,9598600,MS Sky Serenity Sky,https://www.makaan.com/ahmedabad/ms-sky-developers-serenity-sky-in-bopal-2035022
bopal,3,1485,4309,Ready to move,6398865,Safal Parisar II,https://www.makaan.com/ahmedabad/safal-realty-parisar-ii-in-bopal-652015
